benchmark,hostname,num_procs,oversubscribed,avg_time,std_dev
count_primes, Aureolin, 24, 1, 4.629840e-04, 4.603730e-05
count_primes, Aureolin, 32, 1, 6.703874e-04, 4.879114e-05
count_primes, Aureolin, 32, 1, 6.590005e-04, 4.078492e-05
count_primes, Aureolin, 32, 1, 7.121469e-04, 2.498158e-04
count_primes, Aureolin, 32, 1, 6.423367e-04, 2.617384e-05
count_primes, Aureolin, 32, 1, 6.399300e-04, 2.533654e-05
count_primes, Aureolin, 32, 1, 6.522193e-04, 3.433821e-05
count_primes, Aureolin, 32, 1, 6.540838e-04, 3.133378e-05
count_primes, Aureolin, 32, 1, 6.524110e-04, 2.570845e-05
count_primes, Aureolin, 64, 1, 1.418788e-03, 6.524316e-05
count_primes, Aureolin, 64, 1, 1.447442e-03, 1.863479e-04
count_primes, Aureolin, 64, 1, 1.422907e-03, 4.440187e-05
count_primes, Aureolin, 64, 1, 1.431963e-03, 6.305896e-05
count_primes, Aureolin, 64, 1, 1.437887e-03, 7.669125e-05
count_primes, Aureolin, 64, 1, 1.432179e-03, 1.031108e-04
count_primes, Aureolin, 64, 1, 1.411519e-03, 7.279286e-05
count_primes, Aureolin, 64, 1, 1.429827e-03, 1.598055e-04
count_primes, Aureolin, 128, 1, 4.252819e-03, 4.174070e-04
count_primes, Aureolin, 128, 1, 4.284395e-03, 2.352961e-04
count_primes, Aureolin, 128, 1, 4.521055e-03, 5.154213e-04
count_primes, Aureolin, 128, 1, 4.677062e-03, 2.204265e-03
count_primes, Aureolin, 128, 1, 9.420275e-03, 6.350663e-03
count_primes, Aureolin, 128, 1, 4.347251e-03, 2.580470e-04
count_primes, Aureolin, 128, 1, 4.303264e-03, 2.731512e-04
count_primes, Aureolin, 128, 1, 4.206052e-03, 1.591019e-04
all_to_all, Celeste, 1, 0, 1.980762e-07, 4.267016e-07
all_to_all, Celeste, 1, 0, 1.720512e-07, 5.840168e-08
all_to_all, Celeste, 1, 0, 1.539692e-07, 4.140428e-09
all_to_all, Celeste, 1, 0, 1.541892e-07, 3.685707e-09
all_to_all, Celeste, 1, 0, 1.549321e-07, 5.033173e-09
all_to_all, Celeste, 1, 0, 2.434193e-07, 9.368812e-08
all_to_all, Celeste, 1, 0, 1.871842e-07, 6.990631e-08
all_to_all, Celeste, 1, 0, 1.562922e-07, 8.302164e-09
all_to_all, Celeste, 2, 0, 1.499310e-06, 9.197181e-08
all_to_all, Celeste, 2, 0, 1.556645e-06, 1.201079e-07
all_to_all, Celeste, 2, 0, 1.577241e-06, 2.304065e-07
all_to_all, Celeste, 2, 0, 1.479807e-06, 3.361423e-08
all_to_all, Celeste, 2, 0, 1.468352e-06, 6.316019e-08
all_to_all, Celeste, 2, 0, 1.499943e-06, 6.163496e-08
all_to_all, Celeste, 2, 0, 1.477782e-06, 8.038369e-08
all_to_all, Celeste, 2, 0, 1.507150e-06, 1.211029e-07
all_to_all, Celeste, 4, 0, 5.848779e-06, 1.094828e-06
all_to_all, Celeste, 4, 0, 7.639123e-06, 1.064747e-06
all_to_all, Celeste, 4, 0, 6.092043e-06, 6.269344e-07
all_to_all, Celeste, 4, 0, 6.538133e-06, 7.351746e-07
all_to_all, Celeste, 4, 0, 6.794540e-06, 1.109240e-06
all_to_all, Celeste, 4, 0, 7.143600e-06, 1.416502e-06
all_to_all, Celeste, 4, 0, 6.766301e-06, 1.029621e-06
all_to_all, Celeste, 4, 0, 5.947101e-06, 6.372794e-07
all_to_all, Celeste, 6, 0, 1.162225e-05, 9.939705e-07
all_to_all, Celeste, 6, 0, 1.199390e-05, 5.735465e-07
all_to_all, Celeste, 6, 0, 1.206137e-05, 6.341488e-07
all_to_all, Celeste, 6, 0, 1.204195e-05, 7.246963e-07
all_to_all, Celeste, 6, 0, 1.253513e-05, 7.225512e-07
all_to_all, Celeste, 6, 0, 1.190533e-05, 6.911155e-07
all_to_all, Celeste, 6, 0, 1.207262e-05, 7.069486e-07
all_to_all, Celeste, 6, 0, 1.209861e-05, 6.565295e-07
all_to_all, Celeste, 8, 1, 2.039126e-05, 9.544470e-07
all_to_all, Celeste, 8, 1, 2.233095e-05, 1.322097e-06
all_to_all, Celeste, 8, 1, 2.405101e-05, 1.462060e-06
all_to_all, Celeste, 8, 1, 2.327501e-05, 1.599695e-06
all_to_all, Celeste, 8, 1, 2.232999e-05, 1.110983e-06
all_to_all, Celeste, 8, 1, 2.274283e-05, 1.255173e-06
all_to_all, Celeste, 8, 1, 2.254751e-05, 1.058031e-06
all_to_all, Celeste, 8, 1, 2.249982e-05, 1.137665e-06
all_to_all, Celeste, 16, 1, 2.904700e-04, 2.917630e-04
all_to_all, Celeste, 16, 1, 9.825080e-05, 2.133486e-05
all_to_all, Celeste, 16, 1, 1.000473e-04, 3.089350e-05
all_to_all, Celeste, 16, 1, 9.820079e-05, 1.690208e-05
all_to_all, Celeste, 16, 1, 9.992450e-05, 1.665323e-05
all_to_all, Celeste, 16, 1, 1.009135e-04, 1.789616e-05
all_to_all, Celeste, 16, 1, 1.315575e-04, 1.302925e-04
all_to_all, Celeste, 16, 1, 1.007003e-04, 1.657890e-05
all_to_all, Celeste, 24, 1, 3.599919e-04, 4.927042e-04
all_to_all, Celeste, 24, 1, 2.145549e-04, 4.228139e-05
all_to_all, Celeste, 24, 1, 2.064539e-04, 2.096654e-05
all_to_all, Celeste, 24, 1, 2.067175e-04, 3.383603e-05
all_to_all, Celeste, 24, 1, 2.048458e-04, 2.394798e-05
all_to_all, Celeste, 24, 1, 2.079742e-04, 3.749517e-05
all_to_all, Celeste, 24, 1, 2.033515e-04, 2.802539e-05
all_to_all, Celeste, 24, 1, 2.740230e-04, 2.605508e-04
all_to_all, Celeste, 32, 1, 1.134758e-03, 4.294289e-04
all_to_all, Celeste, 32, 1, 1.109072e-03, 1.256262e-04
all_to_all, Celeste, 32, 1, 1.090092e-03, 6.942781e-05
all_to_all, Celeste, 32, 1, 1.171837e-03, 2.310201e-04
all_to_all, Celeste, 32, 1, 1.092568e-03, 7.698026e-05
all_to_all, Celeste, 32, 1, 1.089110e-03, 8.918465e-05
all_to_all, Celeste, 32, 1, 1.109814e-03, 1.124130e-04
all_to_all, Celeste, 32, 1, 1.107278e-03, 7.934085e-05
count_primes, Celeste, 1, 0, 1.503542e-04, 2.239384e-06
count_primes, Celeste, 1, 0, 1.498071e-04, 1.925971e-06
count_primes, Celeste, 1, 0, 1.503852e-04, 2.282433e-06
count_primes, Celeste, 1, 0, 1.498669e-04, 1.629124e-06
count_primes, Celeste, 1, 0, 1.497678e-04, 1.513947e-06
count_primes, Celeste, 1, 0, 1.500906e-04, 1.987170e-06
count_primes, Celeste, 1, 0, 1.496574e-04, 1.199117e-06
count_primes, Celeste, 1, 0, 1.497603e-04, 1.608770e-06
count_primes, Celeste, 2, 0, 1.662644e-04, 1.326220e-05
count_primes, Celeste, 2, 0, 1.653250e-04, 1.443442e-05
count_primes, Celeste, 2, 0, 1.676530e-04, 1.470527e-05
count_primes, Celeste, 2, 0, 1.667067e-04, 1.434456e-05
count_primes, Celeste, 2, 0, 1.682596e-04, 1.506839e-05
count_primes, Celeste, 2, 0, 1.659624e-04, 1.408726e-05
count_primes, Celeste, 2, 0, 1.654283e-04, 1.350154e-05
count_primes, Celeste, 2, 0, 1.657939e-04, 1.389298e-05
count_primes, Celeste, 4, 0, 1.984473e-04, 1.302705e-05
